State,Year,Medicaid_Spending,Median_Income
Maine,2043,9094.14023831347,97352.85059578344
Maine,2044,9239.027497708506,98915.06874427106
Maine,2045,9383.914757103543,100477.28689275868
Maine,2046,9528.802016498637,102039.5050412463
Maine,2047,9673.689275893674,103601.72318973392
Maine,2048,9818.57653528871,105163.94133822154
Maine,2049,9963.463794683747,106726.15948670916
Maine,2050,10108.351054078783,108288.37763519678
Maryland,2021,24010.48524328647,95872.34777984675
Maryland,2022,25082.797527253628,99039.82584419101
Maryland,2023,26155.109811220784,102207.30390853528
Maryland,2024,27227.422095187474,105374.78197288048
Maryland,2025,28299.73437915463,108542.26003722474
Maryland,2026,29372.046663121786,111709.738101569
Maryland,2027,30444.358947088942,114877.2161659142
Maryland,2028,31516.671231055632,118044.69423025846
Maryland,2029,32588.98351502279,121212.17229460273
Maryland,2030,33661.295798989944,124379.65035894793
Maryland,2031,34733.6080829571,127547.12842329219
Maryland,2032,35805.92036692379,130714.60648763645
Maryland,2033,36878.23265089095,133882.08455198165
Maryland,2034,37950.5449348581,137049.56261632591
Maryland,2035,39022.85721882526,140217.04068067018
Maryland,2036,40095.16950279195,143384.51874501538
Maryland,2037,41167.481786759105,146551.99680935964
Maryland,2038,42239.79407072626,149719.47487370484
Maryland,2039,43312.10635469295,152886.9529380491
Maryland,2040,44384.41863866011,156054.43100239336
Maryland,2041,45456.73092262726,159221.90906673856
Maryland,2042,46529.04320659442,162389.38713108283
Maryland,2043,47601.35549056111,165556.8651954271
Maryland,2044,48673.667774528265,168724.3432597723
Maryland,2045,49745.98005849542,171891.82132411655
Maryland,2046,50818.29234246258,175059.29938846081
Maryland,2047,51890.60462642927,178226.777452806
Maryland,2048,52962.91691039642,181394.25551715028
Maryland,2049,54035.22919436358,184561.73358149454
Maryland,2050,55107.54147833027,187729.21164583974
Massachusetts,2021,35442.22731439024,90711.86067827605
Massachusetts,2022,36604.19340055017,94017.2685609525
Massachusetts,2023,37766.15948670963,97322.67644362897
Massachusetts,2024,38928.12557286909,100628.08432630543
Massachusetts,2025,40090.09165902855,103933.49220898189
Massachusetts,2026,41252.05774518801,107238.90009165835
Massachusetts,2027,42414.02383134747,110544.3079743348
Massachusetts,2028,43575.98991750693,113849.71585701127
Massachusetts,2029,44737.95600366639,117155.12373968773
Massachusetts,2030,45899.92208982585,120460.53162236419
Massachusetts,2031,47061.88817598531,123765.93950504065
Massachusetts,2032,48223.85426214477,127071.3473877171
Massachusetts,2033,49385.82034830423,130376.75527039357
Massachusetts,2034,50547.78643446369,133682.16315307003
Massachusetts,2035,51709.75252062315,136987.57103574648
Massachusetts,2036,52871.71860678261,140292.97891842294
Massachusetts,2037,54033.68469294207,143598.3868010994
